orig.ident	celltype
E8	ExE endoderm
E8	Surface ectoderm
E8	Erythroid
E8	Mesenchyme
E8	Cardiomyocytes
E8	Neural crest
E8	Neuromesodermal progenitor
E8	Mesenchyme
E8	ExE endoderm
E8	ExE endoderm
E8	Surface ectoderm
E8	Endothelium
E8	ExE endoderm
E8	Endothelium
E8	Mesenchyme
E8	ExE endoderm
E8	Endothelium
E8	Neural crest
E8	Cardiomyocytes
E8	ExE endoderm
E8	Mesenchyme
E8	ExE endoderm
E8	Mesenchyme
E8	Allantois
E8	Endothelium
E8	Erythroid
E8	Mesenchyme
E8	Spinal cord
E8	ExE mesoderm
E8	Spinal cord
E8	Spinal cord
E8	ExE endoderm
E8	Surface ectoderm
E8	Paraxial mesoderm
E8	Erythroid
E8	Surface ectoderm
E8	ExE endoderm
E8	Neuromesodermal progenitor
E8	Endothelium
E8	Erythroid
E8	ExE endoderm
E8	ExE ectoderm
E8	Mesenchyme
E8	Forebrain/Midbrain/Hindbrain
E8	Endothelium
E8	ExE endoderm
E8	Surface ectoderm
E8	Spinal cord
E8	ExE endoderm
E8	Surface ectoderm
E8	Neuromesodermal progenitor
E8	ExE endoderm
E8	Erythroid
E8	ExE endoderm
E8	Forebrain/Midbrain/Hindbrain
E8	ExE endoderm
E8	Erythroid
E8	Paraxial mesoderm
E8	Gut
E8	ExE mesoderm
E8	Cardiomyocytes
E8	ExE endoderm
E8	Endothelium
E8	ExE endoderm
E8	Surface ectoderm
E8	Erythroid
E8	ExE endoderm
E8	Surface ectoderm
E8	Mesenchyme
E8	Erythroid
E8	ExE endoderm
E8	Surface ectoderm
E8	ExE endoderm
E8	Allantois
E8	Erythroid
E8	Allantois
E8	ExE endoderm
E8	Spinal cord
E8	Surface ectoderm
E8	ExE mesoderm
E8	Primitive Streak
E8	Erythroid
E8	ExE endoderm
E8	Spinal cord
E8	ExE mesoderm
E8	ExE ectoderm
E8	ExE endoderm
E8	ExE ectoderm
E8	ExE endoderm
E8	Paraxial mesoderm
E8	Neuromesodermal progenitor
E8	ExE endoderm
E8	Allantois
E8	ExE ectoderm
E8	ExE endoderm
E8	Allantois
E8	Neuromesodermal progenitor
E8	ExE mesoderm
E8	ExE endoderm
E8	Mesenchyme
E8	ExE endoderm
E8	ExE endoderm
E8	Endothelium
E8	ExE endoderm
E8	Mesenchyme
E8	Endothelium
E8	ExE endoderm
E8	Spinal cord
E8	ExE ectoderm
E8	ExE endoderm
E8	Spinal cord
E8	Erythroid
E8	Surface ectoderm
E8	Blood progenitors
E8	Surface ectoderm
E8	Erythroid
E8	ExE endoderm
E8	ExE endoderm
E8	Primitive Streak
E8	Erythroid
E8	Erythroid
E8	ExE mesoderm
E8	Paraxial mesoderm
E8	Mesenchyme
E8	ExE endoderm
E8	Paraxial mesoderm
E8	ExE mesoderm
E8	Spinal cord
E8	Spinal cord
E8	Mesenchyme
E8	Surface ectoderm
E8	Allantois
E8	Endothelium
E8	Mesenchyme
E8	Spinal cord
E8	Mesenchyme
E8	Neural crest
E8	ExE mesoderm
E8	ExE ectoderm
E8	Cardiomyocytes
E8	ExE mesoderm
E8	Spinal cord
E8	Spinal cord
E8	ExE endoderm
E8	Spinal cord
E8	Erythroid
E8	Mesenchyme
E8	Allantois
E8	Spinal cord
E8	Paraxial mesoderm
E8	ExE ectoderm
E8	ExE mesoderm
E8	Paraxial mesoderm
E8	Allantois
E8	Surface ectoderm
E8	Endothelium
E8	Mesenchyme
E8	Neuromesodermal progenitor
E8	ExE mesoderm
E8	Erythroid
E8	ExE endoderm
E8	Surface ectoderm
E8	Endothelium
E8	Forebrain/Midbrain/Hindbrain
E8	Mesenchyme
E8	ExE endoderm
E8	Primitive Streak
E8	Neural crest
E8	Erythroid
E8	Endothelium
E8	ExE ectoderm
E8	Neural crest
E8	Paraxial mesoderm
E8	Cardiomyocytes
E8	ExE endoderm
E8	Endothelium
E8	Mesenchyme
E8	Endothelium
E8	ExE mesoderm
